,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
3272,CASH_OUT,14949.84,14949.84,0.0,18161.79,33111.63,1
3683,TRANSFER,18627.02,18627.02,0.0,0.0,0.0,1
3684,CASH_OUT,18627.02,18627.02,0.0,147251.58,165878.6,1
3842,PAYMENT,2419.01,31442.51,29023.5,0.0,0.0,0
3889,PAYMENT,7210.86,36009.4,28798.53,0.0,0.0,0
3905,PAYMENT,12638.35,0.0,0.0,0.0,0.0,0
4103,TRANSFER,10539.37,10539.37,0.0,0.0,0.0,1
4104,CASH_OUT,10539.37,10539.37,0.0,0.0,10539.37,1
4260,TRANSFER,22877.0,22877.0,0.0,0.0,0.0,1
4261,CASH_OUT,22877.0,22877.0,0.0,0.0,22877.0,1
4366,PAYMENT,1522.02,189.0,0.0,0.0,0.0,0
4440,TRANSFER,10000000.0,12930418.44,2930418.44,0.0,0.0,1
4441,CASH_OUT,10000000.0,10000000.0,0.0,0.0,9941904.21,1
4442,TRANSFER,2930418.44,2930418.44,0.0,0.0,0.0,1
4443,CASH_OUT,2930418.44,2930418.44,0.0,3616012.1,6963508.84,1
4667,TRANSFER,169941.73,169941.73,0.0,0.0,0.0,1
4668,CASH_OUT,169941.73,169941.73,0.0,0.0,169941.73,1
4693,TRANSFER,13707.11,13707.11,0.0,0.0,0.0,1
4694,CASH_OUT,13707.11,13707.11,0.0,0.0,13707.11,1
4775,TRANSFER,86070.17,86070.17,0.0,0.0,0.0,1
4776,CASH_OUT,86070.17,86070.17,0.0,0.0,86070.17,1
4857,TRANSFER,120074.73,120074.73,0.0,0.0,0.0,1
4858,CASH_OUT,120074.73,120074.73,0.0,0.0,120074.73,1
5123,TRANSFER,60726.57,60726.57,0.0,0.0,0.0,1
5124,CASH_OUT,60726.57,60726.57,0.0,13010502.78,13071229.35,1
5466,TRANSFER,10119.47,10119.47,0.0,0.0,0.0,1
5467,CASH_OUT,10119.47,10119.47,0.0,0.0,10119.47,1
5558,TRANSFER,33332.86,33332.86,0.0,0.0,0.0,1
5559,CASH_OUT,33332.86,33332.86,0.0,31002.0,0.0,1
5661,PAYMENT,17110.72,59859.0,42748.28,0.0,0.0,0
5746,TRANSFER,25975.86,25975.86,0.0,0.0,0.0,1
5747,CASH_OUT,25975.86,25975.86,0.0,98152.0,28041.27,1
5852,TRANSFER,26768.5,26768.5,0.0,0.0,0.0,1
5853,CASH_OUT,26768.5,26768.5,0.0,101976.0,128744.5,1
5994,TRANSFER,30521.02,30521.02,0.0,0.0,0.0,1
5995,CASH_OUT,30521.02,30521.02,0.0,0.0,30521.02,1
6344,CASH_IN,213304.63,3570446.82,3783751.45,224844.48,0.0,0
6583,TRANSFER,216422.0,216422.0,0.0,0.0,0.0,1
6584,CASH_OUT,216422.0,216422.0,0.0,10097.0,48630.5,1
6660,CASH_IN,202246.61,6805261.07,7007507.67,238677.0,9973139.6,0
6702,TRANSFER,17320.91,17320.91,0.0,0.0,0.0,1
6703,CASH_OUT,17320.91,17320.91,0.0,6244.44,0.0,1
6706,TRANSFER,17246.0,17246.0,0.0,0.0,101717.84,1
6707,CASH_OUT,17246.0,17246.0,0.0,0.0,17246.0,1
6897,TRANSFER,10565.0,10565.0,0.0,0.0,0.0,1
6898,CASH_OUT,10565.0,10565.0,0.0,36275.0,24380.72,1
6910,PAYMENT,10960.92,185063.0,174102.08,0.0,0.0,0
7002,TRANSFER,10224.0,10224.0,0.0,0.0,0.0,1
7003,CASH_OUT,10224.0,10224.0,0.0,0.0,10224.0,1
7029,TRANSFER,85354.69,85354.69,0.0,0.0,0.0,1
7030,CASH_OUT,85354.69,85354.69,0.0,11170.0,10612.55,1
7154,TRANSFER,13704.0,13704.0,0.0,0.0,1658746.09,1
7155,CASH_OUT,13704.0,13704.0,0.0,3382.84,143675.35,1
8226,TRANSFER,1486199.17,127097.91,0.0,13446188.67,14932387.84,0
9130,CASH_OUT,211918.4,0.0,0.0,221165.99,433084.38,0
9284,TRANSFER,262434.54,262434.54,0.0,0.0,0.0,1
9285,CASH_OUT,262434.54,262434.54,0.0,19525.79,438233.86,1
9659,PAYMENT,18106.63,48251.0,30144.37,0.0,0.0,0
9763,PAYMENT,12064.58,61770.0,49705.42,0.0,0.0,0
10218,TRANSFER,21729.0,21729.0,0.0,0.0,0.0,1
10219,CASH_OUT,21729.0,21729.0,0.0,27335.0,0.0,1
10387,PAYMENT,14012.0,0.0,0.0,0.0,0.0,0
10395,TRANSFER,5460002.91,5460002.91,0.0,0.0,0.0,1
10396,CASH_OUT,5460002.91,5460002.91,0.0,0.0,9281535.44,1
11577,PAYMENT,1841.56,117674.16,115832.61,0.0,0.0,0
12179,TRANSFER,164.0,164.0,0.0,0.0,0.0,1
12180,CASH_OUT,164.0,164.0,0.0,4068.0,0.0,1
12214,TRANSFER,21571.0,21571.0,0.0,0.0,0.0,1
12215,CASH_OUT,21571.0,21571.0,0.0,30797.41,71140.3,1
12419,CASH_IN,232541.11,4196749.91,4429291.02,468000.95,43336.92,0
12467,TRANSFER,441445.58,441445.58,0.0,0.0,0.0,1
12468,CASH_OUT,441445.58,441445.58,0.0,98993.5,0.0,1
12931,CASH_IN,154516.48,1113128.33,1267644.81,12947437.37,17020715.36,0
13347,CASH_OUT,89515.64,0.0,0.0,125105.0,0.0,0
14861,CASH_OUT,181728.11,0.0,0.0,11397.0,184477.77,1
17351,TRANSFER,660664.36,37602.0,0.0,5563.0,516387.72,0
17549,CASH_IN,115246.88,1914593.87,2029840.75,140708.08,0.0,0
17956,CASH_IN,67347.4,95922.0,163269.4,486585.48,926737.45,0
18771,TRANSFER,222.0,222.0,0.0,0.0,267095.19,1
18772,CASH_OUT,222.0,222.0,0.0,24708.0,171647.35,1
19140,PAYMENT,10085.18,0.0,0.0,0.0,0.0,0
19567,PAYMENT,474.42,0.0,0.0,0.0,0.0,0
23951,CASH_OUT,77802.46,0.0,0.0,205174.64,812216.2,0
24374,CASH_IN,117618.2,2135918.56,2253536.77,210285.36,89758.06,0
24966,TRANSFER,1996.17,1996.17,0.0,0.0,0.0,1
24967,CASH_OUT,1996.17,1996.17,0.0,2559.74,4555.92,1
25473,PAYMENT,1760.67,0.0,0.0,0.0,0.0,0
25513,PAYMENT,6797.51,9236.53,2439.03,0.0,0.0,0
25611,CASH_IN,288998.52,177587.0,466585.52,265649.15,0.0,0
25875,TRANSFER,1078013.76,0.0,0.0,0.0,970749.68,1
26129,PAYMENT,8406.78,22494.0,14087.22,0.0,0.0,0
26140,CASH_OUT,456688.18,0.0,0.0,4545831.99,6347068.5,0
26808,CASH_IN,184647.69,104725.0,289372.69,0.0,442355.24,0
27855,CASH_OUT,38624.29,4220.48,0.0,77544.66,116168.96,0
27895,PAYMENT,10835.83,713434.81,702598.98,0.0,0.0,0
28223,TRANSFER,1243206.07,20821.0,0.0,0.0,1258016.42,0
28623,PAYMENT,7152.46,30576.0,23423.54,0.0,0.0,0
29806,PAYMENT,802.85,190567.13,189764.28,0.0,0.0,0
30276,TRANSFER,1790586.21,527618.04,0.0,12456742.65,14247328.87,0
30808,PAYMENT,18067.14,80258.72,62191.58,0.0,0.0,0
31917,CASH_IN,101020.87,28783.0,129803.87,4393.46,0.0,0
32913,CASH_OUT,256959.83,107709.31,0.0,1464101.1,1721060.93,0
32922,PAYMENT,14323.35,573.0,0.0,0.0,0.0,0
33472,TRANSFER,89631.24,89631.24,0.0,0.0,0.0,1
33473,CASH_OUT,89631.24,89631.24,0.0,21175.0,0.0,1
33913,TRANSFER,29707.86,29707.86,0.0,0.0,0.0,1
33914,CASH_OUT,29707.86,29707.86,0.0,10935.0,0.0,1
33977,PAYMENT,29336.4,28881.2,0.0,0.0,0.0,0
34168,TRANSFER,43092.0,43092.0,0.0,0.0,0.0,1
34169,CASH_OUT,43092.0,43092.0,0.0,660641.74,1158662.9,1
34690,PAYMENT,3749.77,10321.0,6571.23,0.0,0.0,0
34693,TRANSFER,1434947.39,0.0,0.0,1484417.65,2919365.04,0
35636,CASH_OUT,80956.67,0.0,0.0,1533987.73,1614944.4,0
36026,TRANSFER,556218.01,556218.01,0.0,0.0,0.0,1
36027,CASH_OUT,556218.01,556218.01,0.0,0.0,582265.81,1
36433,CASH_IN,325234.94,2066787.07,2392022.01,1814718.43,2454223.23,0
36691,TRANSFER,11308.0,11308.0,0.0,0.0,0.0,1
36692,CASH_OUT,11308.0,11308.0,0.0,0.0,302550.56,1
38148,CASH_OUT,285195.62,10492.0,0.0,20245.0,0.0,0
38416,CASH_OUT,303225.48,0.0,0.0,854258.1,1158662.9,0
39023,CASH_IN,263175.89,900050.72,1163226.62,1949682.33,1686506.43,0
39831,PAYMENT,22469.02,941860.12,919391.1,0.0,0.0,0
40436,TRANSFER,424512.97,4505.0,0.0,36606.63,377327.15,0
45079,CASH_OUT,18670.18,0.0,0.0,19596.0,38266.18,0
45096,CASH_OUT,375339.79,13690.0,0.0,27339.51,402679.3,0
45234,CASH_OUT,111175.4,0.0,0.0,398579.95,509755.35,0
45354,PAYMENT,8909.34,61950.27,53040.93,0.0,0.0,0
45930,TRANSFER,79672.6,0.0,0.0,98702.5,178375.1,0
46083,PAYMENT,5416.11,133165.0,127748.89,0.0,0.0,0
47107,PAYMENT,22065.82,9547.0,0.0,0.0,0.0,0
47144,TRANSFER,350705.74,350705.74,0.0,0.0,1184633.07,1
47145,CASH_OUT,350705.74,350705.74,0.0,894760.68,1794033.65,1
48396,CASH_OUT,344054.26,0.0,0.0,595945.25,1540848.8,0
49461,CASH_IN,314484.19,717749.92,1032234.11,817352.0,502867.81,0
49825,TRANSFER,2539898.07,2539898.07,0.0,0.0,261290.69,1
49826,CASH_OUT,2539898.07,2539898.07,0.0,968.0,1842864.22,1
49885,TRANSFER,361559.69,361559.69,0.0,0.0,141302.12,1
49886,CASH_OUT,361559.69,361559.69,0.0,504667.31,189441.24,1
51090,CASH_IN,2448.15,7528278.43,7530726.58,35427.0,31301.49,0
52905,CASH_OUT,297469.35,0.0,0.0,656322.77,1084732.1,0
53210,CASH_OUT,75391.73,0.0,0.0,83253.0,0.0,0
53440,CASH_OUT,362785.56,332.0,0.0,0.0,422313.12,0
54658,PAYMENT,10612.76,0.0,0.0,0.0,0.0,0
56320,CASH_OUT,169119.37,0.0,0.0,2953490.04,2714800.49,0
56477,TRANSFER,1154353.99,1154353.99,0.0,0.0,10872.9,1
56478,CASH_OUT,1154353.99,1154353.99,0.0,162222.0,1965587.6,1
56487,PAYMENT,14469.59,254196.0,239726.41,0.0,0.0,0
56588,CASH_IN,52326.82,1688624.88,1740951.7,1072324.59,1247456.35,0
57203,CASH_IN,294130.08,20571.0,314701.08,0.0,0.0,0
57372,TRANSFER,633652.75,0.0,0.0,1716532.23,4193397.68,0
58307,TRANSFER,21922.0,21922.0,0.0,0.0,0.0,1
58308,CASH_OUT,21922.0,21922.0,0.0,1929861.61,2046918.8,1
59423,CASH_OUT,229422.42,0.0,0.0,323679.1,909674.88,0
60853,TRANSFER,994453.2,1437370.87,442917.67,194812.76,665743.67,1
60968,PAYMENT,43.28,125099.51,125056.23,0.0,0.0,0
61300,PAYMENT,30728.32,433180.0,402451.68,0.0,0.0,0
62813,CASH_OUT,265347.42,600713.0,335365.58,0.0,79128.29,0
63081,PAYMENT,32454.98,5443.0,0.0,0.0,0.0,0
64347,CASH_IN,148333.86,0.0,148333.86,349204.14,2797230.81,0
64738,TRANSFER,726540.87,0.0,0.0,2041169.22,3635145.4,0
64858,CASH_OUT,16783.57,0.0,0.0,147267.31,613419.6,0
65145,CASH_OUT,101325.03,5618.0,0.0,12102.0,253770.05,0
66834,CASH_OUT,414169.54,0.0,0.0,612915.75,2477877.29,0
69201,TRANSFER,1055.0,1055.0,0.0,0.0,0.0,1
69202,CASH_OUT,1055.0,1055.0,0.0,75179.0,0.0,1
69350,PAYMENT,23082.63,501474.82,478392.19,0.0,0.0,0
70015,CASH_OUT,231456.07,104176.0,0.0,2958804.78,3401927.96,0
70669,CASH_IN,239058.63,5625019.51,5864078.14,588592.67,1345968.64,0
70814,CASH_IN,55596.84,7463880.49,7519477.33,220531.03,38108.75,0
70945,PAYMENT,42926.03,131146.0,88219.97,0.0,0.0,0
71319,CASH_OUT,222832.77,0.0,0.0,14893286.78,15387079.74,0
71988,CASH_OUT,209248.92,0.0,0.0,3159077.63,3368326.56,0
72377,DEBIT,6533.43,50.0,0.0,5316205.5,7949065.27,0
72510,TRANSFER,244068.01,244068.01,0.0,0.0,0.0,1
72511,CASH_OUT,244068.01,244068.01,0.0,0.0,338538.16,1
72930,TRANSFER,59835.0,59835.0,0.0,0.0,0.0,1
72931,CASH_OUT,59835.0,59835.0,0.0,255480.76,315315.76,1
73035,CASH_OUT,15096.22,11692.0,0.0,0.0,336479.54,0
74336,CASH_OUT,209208.41,9004.0,0.0,1052463.28,1516965.84,0
75647,CASH_IN,607.65,100105.0,100712.65,83321.74,376192.19,0
77695,TRANSFER,1182261.79,0.0,0.0,1674279.87,2856541.66,0
77745,CASH_OUT,277970.88,0.0,0.0,0.0,277970.88,1
77771,CASH_IN,336943.95,758073.9,1095017.85,0.0,1933401.45,0
78022,CASH_OUT,402530.88,10086.0,0.0,0.0,402530.88,0
78127,PAYMENT,2168.94,12763.0,10594.06,0.0,0.0,0
78710,CASH_IN,311717.85,503873.38,815591.23,537842.89,226125.04,0
78951,CASH_IN,287174.62,15381.0,302555.62,7157.0,0.0,0
79283,CASH_IN,21723.6,2661.0,24384.6,0.0,0.0,0
79560,CASH_IN,39460.93,6263487.11,6302948.05,257524.34,260567.88,0
79904,PAYMENT,12050.72,4464011.02,4451960.3,0.0,0.0,0
80731,CASH_IN,160475.87,14521.0,174996.87,0.0,0.0,0
80854,PAYMENT,20172.17,0.0,0.0,0.0,0.0,0
81017,CASH_IN,86103.92,4512036.75,4598140.68,3946235.04,3860131.12,0
81661,CASH_OUT,161251.41,0.0,0.0,209986.94,371238.34,0
81697,CASH_OUT,84276.95,0.0,0.0,16024153.27,16108430.22,0
82747,PAYMENT,1526.88,6577.0,5050.12,0.0,0.0,0
82836,CASH_IN,125221.04,15683730.62,15808951.66,3518329.98,3595381.3,0
83028,CASH_OUT,24622.08,10615.0,0.0,15537.0,40159.08,0
83676,PAYMENT,5687.72,3739367.24,3733679.52,0.0,0.0,0
86503,PAYMENT,21487.15,20488.0,0.0,0.0,0.0,0
89216,CASH_OUT,304464.21,11257.0,0.0,0.0,304464.21,0
89994,CASH_IN,330009.26,31300.0,361309.26,234684.39,0.0,0
90070,TRANSFER,93810.76,93810.76,0.0,0.0,0.0,1
90071,CASH_OUT,93810.76,93810.76,0.0,4096048.05,4189858.81,1
90205,CASH_OUT,181803.11,950209.1,768405.99,0.0,181803.11,0
90534,PAYMENT,18550.4,1545753.18,1527202.77,0.0,0.0,0
91408,CASH_OUT,448994.0,495727.41,46733.41,0.0,448994.0,0
92020,PAYMENT,3970.86,0.0,0.0,0.0,0.0,0
92511,CASH_IN,158508.13,10824654.78,10983162.91,2922352.03,3358529.59,0
94545,CASH_OUT,12275.72,112.0,0.0,26162.0,153115.61,0
95259,PAYMENT,18842.55,0.0,0.0,0.0,0.0,0
96186,CASH_OUT,354179.71,0.0,0.0,2112604.06,2869151.34,0
97371,PAYMENT,6740.68,202653.51,195912.83,0.0,0.0,0
99371,TRANSFER,503405.88,503405.88,0.0,0.0,0.0,1
99372,CASH_OUT,503405.88,503405.88,0.0,29669.0,533074.88,1
99661,PAYMENT,22588.33,828798.65,806210.33,0.0,0.0,0
101417,PAYMENT,19016.08,31904.0,12887.92,0.0,0.0,0
101454,PAYMENT,12192.9,265724.92,253532.03,0.0,0.0,0
101946,CASH_OUT,570109.95,185611.05,0.0,916919.37,1607024.02,0
101977,CASH_OUT,53559.42,9071.0,0.0,0.0,53559.42,0
102059,CASH_IN,269730.8,37823.0,307553.8,970253.62,1163780.67,0
102180,TRANSFER,2662734.59,2662734.59,0.0,0.0,0.0,1
102181,CASH_OUT,2662734.59,2662734.59,0.0,14165.62,2930405.33,1
102530,CASH_OUT,210882.24,269.0,0.0,248590.67,267612.53,0
102607,TRANSFER,9217.19,9217.19,0.0,0.0,96795.6,1
102608,CASH_OUT,9217.19,9217.19,0.0,0.0,9217.19,1
104743,CASH_IN,480559.29,4523040.61,5003599.9,1410067.94,929508.65,0
104923,PAYMENT,10320.28,113903.0,103582.72,0.0,0.0,0
105567,PAYMENT,5871.02,11779.0,5907.98,0.0,0.0,0
106565,CASH_OUT,300894.26,372802.84,71908.58,579586.38,1178496.29,0
107414,PAYMENT,15533.55,42742.34,27208.79,0.0,0.0,0
107606,CASH_IN,214104.63,4123913.09,4338017.72,1111266.67,811052.36,0
109014,PAYMENT,11668.91,0.0,0.0,0.0,0.0,0
109030,CASH_IN,310433.36,424297.68,734731.04,2838389.94,2527956.58,0
109444,DEBIT,645.35,0.0,0.0,26276.0,0.0,0
110188,CASH_OUT,88318.85,0.0,0.0,597727.95,701531.05,0
110772,CASH_OUT,105560.36,2594255.45,2488695.09,9187692.88,9339000.53,0
113205,PAYMENT,8521.44,0.0,0.0,0.0,0.0,0
114785,CASH_OUT,231358.44,0.0,0.0,256504.0,487862.44,0
116304,PAYMENT,4670.82,53031.84,48361.02,0.0,0.0,0
116478,CASH_IN,242071.42,16819214.48,17061285.89,6587014.2,6723025.12,0
118401,CASH_OUT,490225.17,0.0,0.0,499021.68,2769856.06,0
120352,TRANSFER,1568588.68,1062.0,0.0,255570.12,1824158.8,0
121130,CASH_OUT,459802.99,5538.0,0.0,6580953.51,8396814.07,0
121296,CASH_OUT,33322.54,0.0,0.0,257390.06,170954.9,0
121329,PAYMENT,31657.62,0.0,0.0,0.0,0.0,0
123603,CASH_OUT,89410.2,0.0,0.0,124081.38,261756.18,0
124045,CASH_OUT,455748.83,69907.79,0.0,0.0,455748.83,0
126317,PAYMENT,1288.02,197102.55,195814.52,0.0,0.0,0
127542,TRANSFER,175402.43,0.0,0.0,575196.15,750598.58,0
127750,PAYMENT,4497.71,0.0,0.0,0.0,0.0,0
127799,CASH_OUT,467107.82,0.0,0.0,3632426.97,5381581.09,0
127803,CASH_OUT,105840.3,0.0,0.0,308323.92,383913.46,0
130914,CASH_OUT,79703.02,0.0,0.0,240761.43,711546.0,0
131849,PAYMENT,28634.79,0.0,0.0,0.0,0.0,0
132458,CASH_OUT,231426.22,204587.0,0.0,0.0,374537.89,0
132797,CASH_IN,32345.67,24004737.48,24037083.15,1354620.49,1094896.32,0
134133,TRANSFER,1710862.7,134851.0,0.0,85052.88,2100882.95,0
134325,PAYMENT,1732.53,17793.0,16060.47,0.0,0.0,0
134942,DEBIT,1078.78,0.0,0.0,872910.48,1823993.11,0
135753,CASH_IN,75702.66,3645.0,79347.66,637148.14,409408.25,0
135785,PAYMENT,10814.01,0.0,0.0,0.0,0.0,0
136135,PAYMENT,2497.41,11742.0,9244.59,0.0,0.0,0
136175,TRANSFER,1195600.06,0.0,0.0,13253335.73,14588071.07,0
136419,TRANSFER,2100.0,2100.0,0.0,0.0,0.0,1
136420,CASH_OUT,2100.0,2100.0,0.0,112512.48,114612.48,1
137136,CASH_OUT,294035.37,43845.62,0.0,0.0,494211.03,0
138224,PAYMENT,19599.05,6306.47,0.0,0.0,0.0,0
138559,TRANSFER,1933920.8,0.0,0.0,1283762.85,3217683.65,1
138821,TRANSFER,714992.63,40226.0,0.0,0.0,522603.57,0
139069,CASH_OUT,29158.85,115502.0,86343.15,0.0,0.0,0
139958,CASH_OUT,107559.56,0.0,0.0,1195044.07,1302603.63,0
141498,TRANSFER,1777149.79,0.0,0.0,2121505.93,3898655.72,0
141634,TRANSFER,313418.28,313418.28,0.0,0.0,97980.88,1
141635,CASH_OUT,313418.28,313418.28,0.0,688164.64,1029922.17,1
142087,TRANSFER,12461.0,12461.0,0.0,0.0,0.0,1
142088,CASH_OUT,12461.0,12461.0,0.0,27964.11,40425.11,1
142875,CASH_OUT,38016.96,0.0,0.0,1383160.59,1325436.85,0
143116,CASH_IN,17421.12,6915349.93,6932771.05,330876.39,317099.19,0
143516,PAYMENT,19517.67,0.0,0.0,0.0,0.0,0
143958,CASH_OUT,461611.51,0.0,0.0,1816287.5,2740743.28,0
144850,CASH_IN,127652.86,12079659.24,12207312.09,6390767.73,6263114.87,0
145194,CASH_OUT,22909.56,0.0,0.0,1740349.06,1763258.62,0
146627,TRANSFER,19472.0,19472.0,0.0,0.0,0.0,1
146628,CASH_OUT,19472.0,19472.0,0.0,0.0,19472.0,1
147868,CASH_OUT,10616.56,25206.0,14589.44,5506344.68,5516961.24,0
149200,CASH_IN,416071.68,17057.0,433128.68,0.0,0.0,0
149660,CASH_IN,46149.77,6712821.03,6758970.8,696347.28,650197.51,0
149700,TRANSFER,721487.23,0.0,0.0,4456446.86,5177934.09,0
150122,PAYMENT,40019.43,0.0,0.0,0.0,0.0,0
151467,CASH_IN,604722.1,158282.0,763004.1,251061.85,0.0,0
151657,TRANSFER,3964129.99,3964129.99,0.0,0.0,0.0,1
151658,CASH_OUT,3964129.99,3964129.99,0.0,1912955.54,5811064.07,1
151924,TRANSFER,1041647.06,1041647.06,0.0,0.0,0.0,1
151925,CASH_OUT,1041647.06,1041647.06,0.0,52730.33,1094377.39,1
153884,PAYMENT,18379.71,120279.15,101899.43,0.0,0.0,0
156141,CASH_OUT,81796.31,0.0,0.0,654707.88,736504.19,0
158573,CASH_OUT,131519.88,0.0,0.0,1149733.21,1230637.04,0
158644,CASH_IN,113524.08,1490863.66,1604387.73,1698437.57,1290728.4,0
159282,PAYMENT,8128.12,21095.0,12966.88,0.0,0.0,0
160260,PAYMENT,3979.21,0.0,0.0,0.0,0.0,0
161415,TRANSFER,1429424.74,2579.0,0.0,3008729.91,4408724.8,0
161643,PAYMENT,4268.85,31218.0,26949.15,0.0,0.0,0
161942,CASH_OUT,21737.99,0.0,0.0,370637.87,1011754.2,0
162297,CASH_OUT,96407.78,93239.0,0.0,4393010.39,0.0,0
164848,CASH_IN,95738.3,6242337.77,6338076.07,260774.35,165036.05,0
165118,CASH_OUT,287403.03,11273.0,0.0,0.0,287403.03,0
167556,TRANSFER,2066467.64,2066467.64,0.0,0.0,81209.81,1
167557,CASH_OUT,2066467.64,2066467.64,0.0,194510.24,3098566.67,1
168099,CASH_OUT,96186.01,0.0,0.0,131602.4,176795.39,0
169938,CASH_IN,260873.62,8257689.48,8518563.09,3497796.29,4459628.94,0
169998,CASH_OUT,149668.66,0.0,0.0,44170.11,193838.76,1
171833,CASH_IN,154405.36,100965.0,255370.36,32.0,0.0,0
173146,PAYMENT,25386.41,0.0,0.0,0.0,0.0,0
173534,CASH_IN,468254.44,2137656.11,2605910.54,7193514.95,6725260.51,0
173912,CASH_OUT,152500.72,0.0,0.0,3275323.53,3875990.74,0
174584,TRANSFER,2007.0,2007.0,0.0,0.0,0.0,1
174585,CASH_OUT,2007.0,2007.0,0.0,129917.8,250910.76,1
175480,CASH_OUT,287449.51,40107.49,0.0,356456.98,1045282.09,0
176302,CASH_OUT,16368.84,20599.65,4230.81,1670731.57,2198149.58,0
176397,TRANSFER,1089759.25,0.0,0.0,1216234.34,2805775.31,0
178622,PAYMENT,17717.98,86125.0,68407.02,0.0,0.0,0
178668,CASH_OUT,222048.71,0.0,0.0,2979.0,225027.71,1
178763,CASH_OUT,160762.18,0.0,0.0,251362.77,296197.83,0
178837,CASH_OUT,303129.9,0.0,0.0,418534.98,930210.4,0
179324,CASH_OUT,337081.18,107662.0,0.0,0.0,337081.18,0
180039,CASH_OUT,304403.46,0.0,0.0,4785538.06,4864363.43,0
180207,PAYMENT,7120.06,0.0,0.0,0.0,0.0,0
180695,PAYMENT,1968.02,0.0,0.0,0.0,0.0,0
181159,CASH_OUT,8942.07,0.0,0.0,5773972.02,5782914.09,0
181538,PAYMENT,34809.22,0.0,0.0,0.0,0.0,0
181637,CASH_OUT,502253.75,0.0,0.0,2090730.74,2750482.36,0
181900,TRANSFER,8677.0,8677.0,0.0,0.0,0.0,1
181901,CASH_OUT,8677.0,8677.0,0.0,225127.62,233804.62,1
182361,CASH_IN,396197.5,6634679.28,7030876.78,655168.56,348369.5,0
182861,TRANSFER,408.0,408.0,0.0,0.0,226013.18,1
182862,CASH_OUT,408.0,408.0,0.0,898297.85,1075854.14,1
184219,CASH_IN,219444.69,508632.0,728076.69,0.0,0.0,0
184426,PAYMENT,2809.87,414335.75,411525.87,0.0,0.0,0
185083,CASH_IN,487488.66,24961.0,512449.66,29679.79,0.0,0
185347,CASH_OUT,110547.82,20198.0,0.0,61643.68,304666.83,0
185780,PAYMENT,32431.59,92099.0,59667.41,0.0,0.0,0
186806,CASH_OUT,385775.95,79538.0,0.0,72725.0,241854.39,0
187904,CASH_OUT,97841.42,5791.0,0.0,165785.55,130100.65,0
188448,CASH_OUT,375390.45,20844.0,0.0,0.0,580759.29,0
188645,CASH_IN,389801.27,570774.33,960575.6,1231367.52,900048.94,0
189549,CASH_OUT,204850.22,10013.0,0.0,82314.97,287165.19,0
190124,CASH_OUT,106192.88,0.0,0.0,2618090.91,2416331.82,0
190408,CASH_OUT,174481.75,0.0,0.0,1430306.47,2446391.48,0
191070,PAYMENT,20695.04,0.0,0.0,0.0,0.0,0
192397,CASH_OUT,19492.23,65313.0,45820.77,0.0,19492.23,0
192544,CASH_IN,181862.04,957129.64,1138991.68,215992.7,34130.65,0
192559,CASH_OUT,149179.68,656.0,0.0,58462.88,111417.4,0
193573,CASH_IN,77350.8,60275.0,137625.8,26694.56,0.0,0
193765,TRANSFER,48375.02,48375.02,0.0,0.0,0.0,1
